Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,-0.05,0.18,0.96,-4.64,-7.93,7.69
1,-0.04,0.17,0.99,-4.88,-1.46,7.63
1,-0.08,0.17,0.96,-12.02,-4.33,6.53
1,-0.06,0.18,0.96,4.52,-2.5,5.98
1,-0.07,0.16,0.99,2.38,2.5,6.35
1,-0.06,0.18,0.97,2.2,2.08,5.07
1,-0.04,0.2,1,6.23,3.6,3.11
1,-0.04,0.2,0.96,6.29,2.5,4.52
1,-0.04,0.18,0.97,6.59,7.45,-0.37
1,-0.04,0.17,0.99,0.06,5.92,-0.24
1,-0.05,0.18,0.97,8.36,2.69,-1.95
1,-0.04,0.18,0.98,10.8,-2.38,-1.95
1,-0.08,0.17,0.95,9.7,-0.18,-1.46
1,-0.03,0.14,0.99,18.8,-5,6.41
1,-0.07,0.13,1,32.78,-22.34,2.32
1,-0.06,0.09,0.99,38.64,-15.14,8.91
1,-0.07,0.06,1,19.29,-0.49,-0.24
1,-0.05,0.04,1.01,19.47,-1.4,6.84
1,-0.07,0.01,1.02,19.84,-0.12,7.93
1,-0.08,-0.04,0.98,34.3,0.37,3.48
1,-0.08,-0.04,1,36.62,2.75,4.88
1,-0.06,-0.15,0.99,49.01,10.8,12.33
1,-0.03,-0.19,0.99,62.74,-0.79,5.55
1,-0.02,-0.24,0.96,31.8,14.89,-8.06
1,-0.02,-0.23,0.96,12.51,11.96,-10.07
1,-0.02,-0.29,0.95,-0.55,15.2,-7.26
1,-0.03,-0.22,0.94,6.59,2.93,0.98
1,-0.02,-0.24,0.97,0.12,4.15,-2.5
1,-0.02,-0.29,0.94,0.79,-2.14,0.85
1,-0.03,-0.26,0.96,4.39,1.71,-2.2
1,-0.09,-0.29,0.94,7.14,0.55,1.04
1,-0.1,-0.33,0.98,0.98,-3.66,-20.69
1,-0.12,-0.36,0.92,10.8,-2.81,-23.19
1,0,-0.24,0.95,18.62,1.28,-7.32
1,-0.06,-0.33,0.92,-4.09,-1.71,11.11
1,-0.03,-0.29,0.97,-11.54,-0.79,3.6
1,-0.08,-0.25,0.91,2.87,-2.38,-7.57
1,-0.1,-0.26,0.9,-26.18,-8.3,-10.01
1,-0.05,-0.16,1,-35.34,-13.55,-1.4
1,-0.03,-0.21,0.97,-16.3,0.06,10.8
1,-0.1,-0.15,0.99,-23.74,-1.89,5.74
1,-0.09,-0.16,0.98,-6.53,10.44,-0.92
1,-0.07,-0.15,1.07,-9.58,10.8,-0.85
1,-0.04,-0.14,0.97,-7.39,3.3,-0.06
1,-0.05,-0.15,0.98,-11.05,1.83,6.16
1,-0.07,-0.07,1.02,-13.92,-0.18,-4.7
1,-0.06,-0.1,0.99,-13.24,2.2,-2.08
1,-0.07,-0.05,0.96,-17.76,0.67,-3.42
1,-0.08,-0.04,0.97,-21,2.26,-2.2
1,-0.07,-0.04,1,-22.83,2.93,-4.03
1,-0.05,0,0.99,-14.65,2.38,-1.1
1,-0.05,0.03,0.98,-7.2,3.05,1.46
1,-0.04,0.04,1,-3.54,0.55,-2.01
1,-0.05,0.04,0.97,-4.58,2.62,-4.33
1,-0.03,0.05,1,-0.18,3.48,-2.56
1,-0.03,0.07,0.98,-0.37,4.88,-1.04
1,-0.02,0.05,0.99,3.3,0.73,-3.91
1,-0.05,0.04,1,3.05,-0.67,0.92
1,-0.02,0.05,1,3.05,0.49,4.15
1,-0.06,0.06,1,3.05,1.77,7.2
1,-0.06,0.06,0.98,-2.2,4.46,0.49
1,-0.02,0.06,0.99,-0.61,1.95,0.92
1,-0.02,0.08,1,1.22,1.95,0.55
1,-0.05,0.06,0.99,-0.67,-0.37,2.01
1,-0.07,0.06,0.98,-0.92,-3.85,2.08
1,-0.05,0.06,0.99,1.65,-3.3,2.87
1,-0.02,0.07,1,-1.95,-1.65,3.11
1,0.05,0.05,0.98,2.26,-2.87,3.6
1,-0.04,0.08,0.99,1.16,-12.08,2.56
1,-0.04,0.09,0.98,-1.89,-15.01,2.93
1,-0.04,0.09,0.99,6.96,-3.72,2.2
1,-0.06,0.11,0.97,3.05,-3.48,-1.71
1,-0.07,0.08,0.99,0.12,-8.61,-0.98
1,-0.08,0.07,0.99,-0.12,-7.69,-2.62
1,-0.08,0.08,0.97,-1.83,0.43,-1.53
1,-0.09,0.08,1,-2.69,6.16,-1.22
1,-0.06,0.08,0.99,-3.11,1.77,-2.08
1,-0.06,0.08,0.99,2.08,7.93,0.85
1,-0.07,0.07,0.99,1.77,-0.18,2.14
1,-0.07,0.08,0.98,3.6,-2.38,6.35
1,-0.07,0.07,1,2.93,5.19,3.42
1,-0.07,0.07,0.99,2.01,-0.43,3.72
1,-0.08,0.08,0.99,1.16,3.3,1.77
1,-0.07,0.09,0.98,-1.71,-0.12,2.81
1,-0.05,0.06,0.99,-0.67,-2.56,4.15
1,-0.07,0.11,0.97,0.85,-3.54,7.87
1,-0.06,0.08,0.96,3.78,7.45,7.2
1,-0.06,0.09,1.01,2.62,7.57,6.59
1,-0.07,0.1,0.97,2.62,5.62,3.91
1,-0.05,0.11,1,6.9,-1.46,-2.44
1,-0.06,0.08,1,4.88,-7.69,-6.35
1,-0.08,0.07,0.98,7.69,-0.85,1.04
1,-0.09,0.04,0.97,6.16,11.66,0.49
1,-0.04,0.04,0.97,4.52,25.27,1.71
1,-0.04,-0.03,0.91,17.88,6.96,-1.28
1,-0.02,0.01,1.02,15.87,10.62,-1.22
1,0.06,0.04,1,5.13,20.94,-6.23
1,0.01,0,1,15.81,4.09,-0.73
1,0.04,-0.01,0.99,4.46,-4.15,-3.48
1,0.02,-0.04,0.98,2.99,-3.17,-3.85
1,0.02,-0.02,0.99,-8.42,2.99,-11.29
1,0.03,-0.02,0.99,-9.64,-1.89,-7.32
1,0.03,-0.02,1,-6.59,1.71,-5.8
1,0.01,0,0.99,-3.97,3.85,-3.72
1,0.03,-0.02,0.97,2.14,4.46,-3.42
1,0.01,0,1.02,8.24,-9.89,-0.67
1,-0.01,0,0.99,6.59,1.1,0.18
1,0.01,0.03,0.99,1.77,-1.53,-7.93
1,-0.02,0.01,0.99,-6.59,1.22,-6.96
1,0.01,0.01,0.98,-0.73,-1.59,-7.63
1,-0.03,0.03,1,-9.64,4.64,-2.75
1,-0.02,0,1,-5.19,-6.29,-2.08
1,-0.03,0.01,1,11.23,-3.36,-5.07
1,-0.04,0.03,0.93,-0.12,-4.46,-5.19
1,0.02,0.08,1.04,4.03,7.32,-7.87
1,-0.07,-0.01,1,-0.73,6.16,-2.87
1,0,0.04,0.97,-10.8,9.52,-0.06
1,0.04,0.03,0.99,-15.32,5.07,-0.92
1,-0.03,0.08,0.99,-5.98,-6.41,6.29
1,0.02,0.1,0.99,-11.47,-2.38,-2.14
1,-0.03,0.07,1.01,-2.5,0.67,-4.58
1,0.03,0.08,0.97,-3.42,-3.6,-6.29
1,0,0.09,0.98,-8.3,-2.69,-4.21
1,-0.02,0.11,1,5.92,-6.77,-0.92
1,0,0.11,0.97,5.43,-3.78,-0.73
1,-0.05,0.08,1,21.85,-5.31,0.31
1,-0.08,0.04,0.96,-4.52,-1.28,0.61
1,-0.02,0.14,1,-8.48,8.67,-0.43
1,-0.03,0.11,0.99,-4.82,5.62,1.16
1,-0.02,0.11,0.99,2.32,2.75,5.62
1,-0.01,0.1,1,3.97,-0.55,5.31
1,-0.05,0.08,0.99,2.56,-0.43,5.37
1,-0.06,0.07,0.99,5.19,1.34,12.88
1,-0.05,0.07,0.98,9.7,2.26,21.73
1,0.02,0.08,1.02,7.75,3.3,18.8
1,0,0.1,0.98,4.76,2.99,14.16
1,0.02,0.11,0.98,7.08,-2.87,14.1
1,-0.02,0.07,1,3.11,-1.04,9.95
1,-0.04,0.07,0.99,0.37,-1.4,-2.14
1,-0.03,0.07,0.99,0.37,1.89,0.79
1,-0.04,0.06,0.99,1.22,0.18,6.96
1,-0.03,0.06,0.99,3.66,-3.17,0.31
1,-0.04,0.05,1,1.53,-3.66,2.08
1,-0.02,0.05,0.98,-3.85,-5.62,-7.63
1,-0.01,0.09,0.99,-5.43,-3.66,0.73
1,-0.01,0.09,0.99,-1.59,-4.88,0.49
1,-0.01,0.11,0.98,-7.51,-7.87,-5.25
1,-0.03,0.11,0.99,-13.31,-1.89,-5.43
1,0,0.14,1,-14.1,0.98,-2.44
1,-0.04,0.11,0.96,-13.06,-3.23,5.31
1,0,0.13,0.99,-12.76,15.26,-1.34
1,-0.03,0.13,1.01,-11.9,8.24,6.47
1,0,0.17,0.97,7.51,-0.06,1.46
1,0,0.15,0.99,1.1,5.86,0.61
1,-0.03,0.18,0.97,15.87,-0.98,1.65
1,0,0.17,0.95,2.2,0.55,-1.65
1,-0.03,0.18,1.04,14.65,5.74,3.54
1,0,0.16,0.94,3.91,5.62,1.22
1,0,0.18,1.01,2.44,-0.37,2.87
1,-0.02,0.17,0.97,3.11,-13.73,3.78
1,-0.03,0.16,1.01,6.77,-14.59,1.28
1,-0.04,0.15,0.98,6.04,-16.36,-0.67
1,-0.05,0.13,1,10.8,-5.31,0.79
1,-0.07,0.13,0.97,11.9,15.44,0.06
1,-0.04,0.08,0.97,12.39,21.12,-1.16
1,-0.01,0.08,0.96,8.67,10.99,-0.49
1,-0.02,0.05,0.96,9.09,11.96,3.6
1,0,0.04,0.97,7.93,9.22,2.32
1,0.01,0.04,0.98,6.16,7.51,1.34
1,0.03,0.03,1,4.03,3.78,-0.37
1,0.03,0.03,0.98,4.58,-3.48,-0.18
1,0.01,0.02,1,1.46,-4.64,-1.95
1,0,0.03,0.99,-0.61,-2.87,-0.73
1,-0.03,0.03,1,4.09,-0.37,-1.1
1,-0.03,0.03,1,1.65,5.62,-0.12
1,-0.02,0.02,0.99,1.95,0.67,1.16
1,0,0.03,0.99,2.87,8.18,0.98
1,0.01,0.03,0.98,2.99,8.12,1.16
1,0.02,0.03,0.99,4.03,5.25,1.95
1,0.02,0.05,1,1.77,2.44,2.69
1,0.02,0.05,0.99,1.46,0.18,-0.49
1,0.03,0.04,0.99,1.46,2.44,-2.26
1,0.04,0.03,0.98,0.98,-0.18,-1.1
1,0.03,0.04,0.99,1.16,-4.27,0.06
1,0.02,0.04,0.98,-0.31,-9.28,-0.43
1,0.02,0.05,1,-0.24,-3.54,0.43
1,0.01,0.04,1,2.87,3.11,-0.98
1,0.03,0.04,0.98,3.85,5.92,-0.12
1,0.03,0.04,0.99,1.65,3.78,-0.31
1,0.03,0.03,0.99,2.99,2.38,-0.06
1,0.04,0.04,0.97,1.89,-0.31,0.24
1,0.03,0.03,0.99,2.44,1.04,0.67
1,0.04,0.04,0.99,1.77,-0.73,0.06
1,0.03,0.04,0.98,1.65,1.83,-0.18
1,0.03,0.04,0.98,2.26,2.87,0.31
1,0.04,0.03,0.98,0.18,-2.44,0.43
1,0.03,0.04,0.97,-0.55,-6.29,1.28
1,0.03,0.02,0.96,1.59,-9.09,3.17
1,0.01,0.03,0.98,3.54,-10.74,3.17
1,0.01,0.04,0.98,4.58,2.32,0.31
1,0,0.05,0.98,3.48,0.18,-2.99
1,0,0.05,1,-3.85,2.08,0.18
1,-0.01,0.05,1.01,4.33,4.09,0.79
1,0.01,0.02,1,-0.55,2.81,-1.53
1,0.02,0.05,0.99,0.55,6.65,-0.98
1,0.01,0.06,0.98,-2.56,4.46,-0.18
1,0.02,0.06,0.96,-1.95,6.04,-0.43
1,0,0.06,1,0.18,9.7,1.53
1,0.04,0.05,0.96,0.67,18.86,-2.26
1,0.06,0.03,0.99,-0.43,18.13,-1.46
1,0.08,0.06,1,-3.97,-6.9,2.81
1,0.13,0.03,1.08,12.08,1.46,4.52
1,0.06,0.06,0.99,16.11,-12.33,4.33
1,0.04,0.03,1,18.25,-3.85,1.1
1,0.04,0.02,0.99,6.23,-3.54,-2.93
1,0.03,0.02,0.99,6.96,-4.03,-0.49
1,0.03,0.01,0.99,5.62,-4.52,0.49
1,0,-0.01,1.02,3.6,-6.53,1.95
1,0,0.01,1,-6.96,-20.32,-3.85
1,-0.02,0.01,1,1.83,-0.37,4.39
1,-0.02,0.02,0.99,2.01,-0.12,4.09
1,-0.05,0.01,1,2.69,-0.31,3.36
1,-0.03,0.01,0.99,2.81,-0.06,1.04
1,-0.02,0.01,0.98,7.63,-0.61,-1.1
1,-0.04,0.03,0.98,8,-2.87,1.77
1,-0.03,0,1,7.87,-0.73,1.83
1,-0.03,-0.01,0.99,4.27,-0.61,1.89
1,-0.04,-0.01,0.98,-1.1,0.18,0.18
1,-0.03,0.01,0.99,0.31,15.5,0.37
1,-0.04,-0.01,0.99,3.36,0.49,-0.12
1,-0.03,-0.02,1,2.2,0.31,-0.24
1,-0.03,-0.01,0.99,0.61,0.49,0.31
1,-0.03,-0.01,0.99,0.18,0.31,0.37
1,-0.03,0,0.99,1.4,0.06,0.06
1,-0.04,0,0.99,2.14,0.18,0.18
1,-0.03,0,0.99,1.95,0.24,0.31
1,-0.04,0,0.99,2.08,0.18,0.24
1,-0.04,-0.01,0.99,1.89,0.55,0.24
1,-0.03,0,0.99,1.34,0.31,0.18
1,-0.03,-0.01,0.99,1.59,0.18,0.12
1,-0.03,0,0.99,2.2,0.06,0.43
1,-0.04,-0.01,0.99,2.75,0.43,0
1,-0.04,-0.01,0.99,2.81,0.18,0.12
1,-0.04,-0.01,0.99,0.73,0.49,0.12
1,-0.03,0,0.99,1.34,0.31,0.24
1,-0.04,-0.01,0.99,2.2,0.49,0.18
1,-0.03,-0.01,0.99,1.46,0.24,0.06
1,-0.04,-0.01,0.99,1.34,0.24,0.24
1,-0.04,-0.01,0.99,2.14,0.18,0.37
1,-0.04,-0.01,0.99,2.08,0.49,0.43
1,-0.04,-0.01,0.99,1.46,0.49,0.24
1,-0.04,-0.01,0.99,1.22,0.61,0.37
1,-0.03,0,0.99,1.53,0.37,0.18
1,-0.04,-0.01,0.99,2.44,0.43,0.31
1,-0.04,0,0.99,1.22,0.37,0.43
1,-0.04,0,0.99,2.75,0.31,0.31
1,-0.04,-0.01,0.99,2.81,-0.12,0.31
1,-0.04,-0.01,0.99,2.69,0.12,0.24
1,-0.04,-0.01,0.99,1.89,-0.06,0.79
1,-0.04,-0.01,0.99,2.01,0.24,0.31
1,-0.04,-0.01,0.99,2.01,0.61,-0.06
1,-0.04,-0.02,0.99,1.83,0.61,-0.06
1,-0.03,-0.01,0.99,1.83,0.18,0.49
1,-0.04,-0.01,0.99,2.08,0.31,0.49
1,-0.04,-0.01,0.99,1.89,0.43,0.49
1,-0.04,-0.01,0.99,3.17,0.43,0.43
1,-0.04,-0.02,0.99,2.75,0.06,0.24
1,-0.04,-0.01,0.99,1.77,0.49,0.37
1,-0.04,-0.02,0.99,1.83,0.67,0.12
1,-0.04,-0.01,0.99,1.59,0.18,0.18
1,-0.04,-0.02,0.99,1.89,0.24,0.49
1,-0.04,-0.02,0.99,2.38,0.18,0.49
1,-0.04,-0.02,0.99,2.26,0.37,0.12
1,-0.04,-0.02,0.99,1.83,0.37,0.31
1,-0.04,-0.02,0.99,1.89,0.49,0.24
1,-0.04,-0.02,0.99,2.08,0.18,0.31
1,-0.04,-0.02,0.99,1.77,0.12,0.49
1,-0.04,-0.02,0.99,1.59,0.49,0.18
1,-0.04,-0.01,0.99,2.44,0.55,-0.06
1,-0.04,-0.02,0.99,3.23,0.31,0.18
1,-0.04,-0.03,0.99,2.2,0.31,0.31
1,-0.04,-0.02,0.99,1.16,0.43,0.31
1,-0.04,-0.02,0.99,0.85,0.49,0.31
1,-0.04,-0.02,0.99,2.08,0.37,0.18
1,-0.04,-0.02,0.99,1.71,0.24,0.37
1,-0.04,-0.02,0.99,2.75,0.24,0.24
1,-0.04,-0.03,0.99,2.44,0.49,0.31
1,-0.04,-0.02,0.99,0.79,0.73,0.12
1,-0.04,-0.01,0.99,1.1,0.55,0.37
1,-0.04,-0.02,0.99,2.26,0.73,0.55
1,-0.04,-0.02,0.99,2.32,0.55,0.73
1,-0.04,-0.02,0.99,3.17,0.24,-0.18
1,-0.04,-0.02,0.99,4.52,-0.12,0.18
1,-0.05,-0.04,0.99,3.11,0,0.37
1,-0.05,-0.03,0.99,-0.61,0.67,0.18
1,-0.04,-0.02,0.99,-1.16,0.73,-0.12
1,-0.04,-0.02,0.98,0.06,0.43,0.12
1,-0.03,-0.02,1,0.31,3.85,-1.95
1,-0.03,-0.01,0.99,1.95,-2.26,2.93
1,-0.05,-0.02,0.99,3.17,1.4,1.59
1,-0.04,-0.02,0.99,1.65,4.03,-0.79
1,-0.03,-0.02,0.99,1.77,0.31,0.06
1,-0.03,-0.02,0.99,2.44,0.85,0.92
1,-0.03,-0.02,0.99,2.08,0.92,0.06
1,-0.04,-0.03,0.98,2.26,2.32,-0.18
1,-0.02,-0.03,1.01,2.81,3.3,-0.37
1,-0.03,-0.02,0.99,2.2,0.49,0.31
1,-0.03,-0.02,0.99,1.22,0.18,1.71
1,-0.03,-0.02,0.99,1.46,2.93,0
1,-0.02,-0.02,0.99,1.95,-0.12,0.37
1,-0.02,-0.03,0.99,1.46,0.98,0.55
1,-0.02,-0.02,1,1.46,-0.61,-0.12
1,-0.02,-0.03,0.99,2.93,1.04,-0.18
1,-0.02,-0.03,0.99,1.95,0,-0.37
1,-0.03,-0.02,0.99,1.16,-1.4,0.43
1,-0.03,-0.02,0.99,1.34,-1.16,0.61
1,-0.03,-0.02,0.99,1.46,-0.73,0.55
1,-0.03,-0.02,0.98,2.14,1.4,0.06
